calc_time,symbol,base_asset,quote_asset,index_value
1745971200001,BTCBVOLUSDT,BTCBVOL,USDT,48.5436
1745971201000,BTCBVOLUSDT,BTCBVOL,USDT,48.5433
1745971202000,BTCBVOLUSDT,BTCBVOL,USDT,48.5430
1745971203001,BTCBVOLUSDT,BTCBVOL,USDT,48.5428
1745971204001,BTCBVOLUSDT,BTCBVOL,USDT,48.5425
1745971205004,BTCBVOLUSDT,BTCBVOL,USDT,48.5423
1745971206000,BTCBVOLUSDT,BTCBVOL,USDT,48.5421
1745971207001,BTCBVOLUSDT,BTCBVOL,USDT,48.5418
1745971208000,BTCBVOLUSDT,BTCBVOL,USDT,48.5415
1745971209001,BTCBVOLUSDT,BTCBVOL,USDT,48.5412
1745971210001,BTCBVOLUSDT,BTCBVOL,USDT,48.5410
1745971211001,BTCBVOLUSDT,BTCBVOL,USDT,48.5408
1745971212002,BTCBVOLUSDT,BTCBVOL,USDT,48.5406
1745971213000,BTCBVOLUSDT,BTCBVOL,USDT,48.5403
1745971214000,BTCBVOLUSDT,BTCBVOL,USDT,48.5401
1745971215001,BTCBVOLUSDT,BTCBVOL,USDT,48.5398
1745971216000,BTCBVOLUSDT,BTCBVOL,USDT,48.5394
1745971217000,BTCBVOLUSDT,BTCBVOL,USDT,48.5392
1745971218000,BTCBVOLUSDT,BTCBVOL,USDT,48.5390
1745971219000,BTCBVOLUSDT,BTCBVOL,USDT,48.5387
1745971220000,BTCBVOLUSDT,BTCBVOL,USDT,48.5385
1745971221001,BTCBVOLUSDT,BTCBVOL,USDT,48.5383
1745971222000,BTCBVOLUSDT,BTCBVOL,USDT,48.5380
1745971223000,BTCBVOLUSDT,BTCBVOL,USDT,48.5378
1745971224000,BTCBVOLUSDT,BTCBVOL,USDT,48.5376
1745971225008,BTCBVOLUSDT,BTCBVOL,USDT,48.5373
1745971226001,BTCBVOLUSDT,BTCBVOL,USDT,48.5371
1745971227000,BTCBVOLUSDT,BTCBVOL,USDT,48.5369
1745971228000,BTCBVOLUSDT,BTCBVOL,USDT,48.5366
1745971229005,BTCBVOLUSDT,BTCBVOL,USDT,48.5364
1745971230003,BTCBVOLUSDT,BTCBVOL,USDT,48.5362
1745971231002,BTCBVOLUSDT,BTCBVOL,USDT,48.5359
1745971232001,BTCBVOLUSDT,BTCBVOL,USDT,48.5358
1745971233000,BTCBVOLUSDT,BTCBVOL,USDT,48.5355
1745971234002,BTCBVOLUSDT,BTCBVOL,USDT,48.5353
1745971235006,BTCBVOLUSDT,BTCBVOL,USDT,48.5351
1745971236000,BTCBVOLUSDT,BTCBVOL,USDT,48.5349
1745971237004,BTCBVOLUSDT,BTCBVOL,USDT,48.5347
1745971238000,BTCBVOLUSDT,BTCBVOL,USDT,48.5345
1745971239001,BTCBVOLUSDT,BTCBVOL,USDT,48.5343
1745971240000,BTCBVOLUSDT,BTCBVOL,USDT,48.5340
